time,sipa,bluematt,dashjr,bitcoinstats,schnelli,todd,provoost,emzy,wiz
2023-04-15,9,4,3,8,7,11,9,5,5
2023-04-16,12,7,3,12,7,10,9,8,7
2023-04-17,9,7,4,9,6,11,9,7,7
2023-04-18,11,7,4,10,5,12,9,8,5
2023-04-19,12,5,4,7,7,11,9,9,6
2023-04-20,10,5,3,15,7,11,10,9,7
2023-04-21,12,6,4,10,7,8,8,7,5
2023-04-22,8,5,2,11,7,7,7,6,6
2023-04-23,9,5,6,10,6,11,10,8,6
2023-04-24,8,7,2,11,5,8,8,5,5
2023-04-25,10,7,4,11,8,7,6,11,7
2023-04-26,9,7,3,13,9,9,9,6,6
2023-04-27,9,7,4,10,9,9,8,7,5
2023-04-28,7,7,3,9,5,8,6,8,3
2023-04-29,10,7,4,11,7,8,6,8,8
2023-04-30,11,7,2,12,6,7,8,7,6
2023-05-01,10,3,2,8,7,7,6,11,9
2023-05-02,8,5,2,10,7,9,9,7,5
2023-05-03,9,6,4,11,5,7,8,7,6
2023-05-04,9,7,2,11,6,7,7,8,7
2023-05-05,6,6,2,12,8,7,6,8,6
2023-05-06,9,6,3,8,6,10,10,5,6
2023-05-07,8,6,2,13,5,9,6,6,6
2023-05-08,6,7,3,9,6,7,8,7,4
2023-05-09,7,8,2,9,5,7,7,7,6
2023-05-10,7,5,2,13,8,7,6,4,4
2023-05-11,9,7,3,8,8,8,13,8,6
2023-05-12,7,7,4,10,6,4,6,6,7
2023-05-13,7,9,3,6,6,6,9,4,8
2023-05-14,7,3,2,13,5,6,4,10,8
2023-05-15,6,7,2,10,6,7,8,7,4
2023-05-16,8,5,3,7,5,8,7,8,6
2023-05-17,11,8,2,10,6,10,8,7,4
2023-05-18,7,6,3,11,5,7,9,4,7
2023-05-19,8,8,4,11,6,6,7,8,4
2023-05-20,8,6,2,7,6,8,7,6,4
2023-05-21,9,7,3,8,4,6,9,8,6
2023-05-22,9,7,5,12,8,11,8,7,5
2023-05-23,10,5,3,7,5,6,9,5,5
2023-05-24,11,7,5,9,5,8,7,6,8
2023-05-25,7,5,2,6,6,7,8,10,6
2023-05-26,9,9,4,9,4,6,10,10,6
2023-05-27,11,8,2,11,6,11,9,8,9
2023-05-28,9,8,4,14,7,10,8,10,10
2023-05-29,9,5,5,15,7,8,8,9,7
2023-05-30,11,8,3,12,6,10,8,12,6
2023-05-31,12,7,4,10,6,9,9,14,7
2023-06-01,8,7,2,11,7,11,7,7,7
2023-06-02,9,8,3,12,7,8,10,11,10
2023-06-03,10,6,3,13,5,8,8,11,7
2023-06-04,8,8,3,11,7,8,10,8,6
2023-06-05,9,6,2,10,6,8,9,9,6
2023-06-06,11,7,4,12,6,8,10,9,8
2023-06-07,10,8,4,13,7,8,12,8,7
2023-06-08,10,9,2,13,6,8,8,9,8
2023-06-09,7,9,3,11,5,10,8,12,6
2023-06-10,9,8,2,10,9,9,6,13,8
2023-06-11,10,5,3,15,8,8,9,15,6
2023-06-12,10,10,2,8,5,10,7,10,4
2023-06-13,12,6,2,11,9,11,8,9,6
2023-06-14,9,6,3,14,6,9,8,13,6
2023-06-15,9,7,3,13,7,7,7,7,5
2023-06-16,9,8,2,10,5,8,10,8,5
2023-06-17,9,6,4,11,9,10,10,9,4
2023-06-18,10,5,2,15,7,9,11,11,5
2023-06-19,7,8,2,15,6,10,9,8,5
2023-06-20,12,4,2,13,6,11,7,13,5
2023-06-21,8,8,4,13,7,11,8,9,9
2023-06-22,12,6,3,17,9,9,7,10,4
2023-06-23,12,6,2,11,7,8,9,12,4
2023-06-24,9,7,3,10,6,10,8,9,10
2023-06-25,9,7,3,10,6,10,8,9,10
2023-06-26,9,7,3,13,6,10,8,8,6
2023-06-27,11,7,3,11,8,8,9,12,5
2023-06-28,11,4,3,11,9,8,8,11,5
2023-06-29,12,6,3,12,8,11,6,11,7
2023-06-30,11,7,3,17,6,10,5,9,9
2023-07-01,7,6,2,8,6,6,9,10,9
2023-07-02,10,8,3,9,6,6,9,7,11
2023-07-03,8,8,4,12,8,14,7,11,8
2023-07-04,11,6,2,11,8,13,8,9,6
2023-07-05,11,6,3,9,5,10,13,12,8
2023-07-06,14,4,3,13,8,11,10,10,8
2023-07-07,10,8,3,9,6,11,8,9,9
2023-07-08,9,5,2,13,8,8,9,10,9
2023-07-09,10,7,4,15,7,9,9,10,7
2023-07-10,10,7,4,16,5,7,8,9,5
2023-07-11,7,7,3,11,6,8,9,12,5
2023-07-12,11,6,2,9,8,9,8,10,6
2023-07-13,11,5,3,12,7,9,8,8,7
2023-07-14,12,5,3,17,6,11,11,6,6
2023-07-15,11,4,3,9,9,10,8,9,8
2023-07-16,11,4,3,9,7,11,6,9,7
2023-07-17,9,4,5,17,8,6,6,10,8
2023-07-18,9,7,2,11,7,9,7,9,5
2023-07-19,11,9,4,13,8,11,7,9,6
2023-07-20,10,7,2,12,4,10,5,10,6
2023-07-21,9,6,2,16,7,9,7,13,7
2023-07-22,7,6,3,12,5,8,8,10,7
2023-07-23,9,6,4,11,7,10,10,11,8
2023-07-24,11,7,3,12,9,7,7,10,7
2023-07-25,11,7,3,16,6,7,10,7,7
2023-07-26,11,5,3,12,5,12,7,12,8
2023-07-27,10,8,2,12,7,9,9,10,7
2023-07-28,6,6,2,11,7,7,8,10,5
2023-07-29,10,9,3,9,6,8,9,11,7
2023-07-30,9,6,5,12,7,7,9,11,6
2023-07-31,8,6,3,12,8,9,9,10,6
2023-08-01,9,6,3,15,6,10,8,13,8
2023-08-02,8,7,2,17,8,13,8,9,8
2023-08-03,8,7,3,10,6,9,6,10,6
2023-08-04,8,6,3,10,6,8,7,8,6
2023-08-05,12,5,2,12,6,9,9,9,7
2023-08-06,12,7,3,11,6,8,8,12,7
2023-08-07,11,5,4,10,6,10,7,11,8
2023-08-08,9,7,2,14,7,8,9,11,6
2023-08-09,7,7,2,13,6,6,7,9,5
2023-08-10,12,5,3,12,6,8,10,12,4
2023-08-11,9,7,2,12,6,6,6,9,9
2023-08-12,9,9,2,12,3,11,7,9,7
2023-08-13,9,5,2,14,4,8,11,10,6
2023-08-14,8,5,3,13,6,9,8,8,9
2023-08-15,13,6,2,14,7,10,8,8,8
2023-08-16,11,4,3,13,7,10,9,10,6
2023-08-17,12,6,2,13,5,8,7,14,5
2023-08-18,14,8,3,13,5,9,9,10,5
2023-08-19,9,6,3,13,6,6,7,8,7
2023-08-20,9,7,2,16,7,7,7,7,6
2023-08-21,9,6,5,11,4,9,5,10,5
2023-08-22,9,4,3,15,4,9,6,9,5
2023-08-23,10,5,3,11,5,8,9,8,8
2023-08-24,10,6,6,17,4,10,11,11,5
2023-08-25,10,8,2,14,6,8,6,9,5
2023-08-26,9,7,3,13,6,13,7,8,7
2023-08-27,7,7,2,16,6,10,9,10,6
2023-08-28,10,5,3,13,6,8,9,8,6
2023-08-29,11,7,3,13,5,10,7,10,4
2023-08-30,10,7,2,15,7,6,11,7,5
2023-08-31,8,8,3,13,5,10,9,8,7
2023-09-01,13,5,4,10,6,12,10,9,5
2023-09-02,9,8,3,17,8,6,6,8,6
2023-09-03,9,8,3,11,4,8,9,11,5
2023-09-04,8,6,4,13,7,9,9,10,8
2023-09-05,12,6,2,14,8,10,6,9,6
2023-09-06,11,7,3,11,4,7,6,8,5
2023-09-07,9,4,2,11,7,7,8,7,5
2023-09-08,8,5,2,15,6,7,8,13,4
2023-09-09,13,5,4,15,8,9,9,11,6
2023-09-10,8,9,3,12,6,10,6,8,6
2023-09-11,10,5,4,14,3,9,9,11,6
2023-09-12,11,5,3,15,8,8,8,11,6
2023-09-13,9,6,5,14,4,8,10,10,6
2023-09-14,9,6,3,14,6,8,8,10,6
2023-09-15,11,5,2,14,5,10,6,10,5
2023-09-16,10,6,3,12,6,9,7,8,4
2023-09-17,8,6,3,12,7,10,7,6,5
2023-09-18,7,7,0,15,4,9,10,7,6
2023-09-19,7,6,2,11,4,9,8,10,7
2023-09-20,8,4,4,11,7,7,8,9,3
2023-09-21,12,6,3,13,6,8,11,7,7
2023-09-22,10,6,3,12,4,8,7,10,6
2023-09-23,10,5,3,10,4,11,8,9,6
2023-09-24,9,6,3,12,5,7,7,8,5
2023-09-25,9,4,2,11,5,8,8,10,4
2023-09-26,9,5,4,12,7,10,5,7,7
2023-09-27,9,8,2,12,7,6,7,10,5
2023-09-28,7,6,3,14,5,8,6,11,4
2023-09-29,9,5,3,11,5,10,7,8,6
2023-09-30,10,7,4,15,6,9,8,12,3
2023-10-01,8,5,3,13,6,9,9,11,3
2023-10-02,14,6,2,15,6,7,7,11,5
2023-10-03,11,3,4,15,5,7,7,11,5
2023-10-04,9,8,3,14,6,9,8,9,3
2023-10-05,11,6,2,18,8,8,6,12,5
2023-10-06,8,8,3,11,5,6,9,8,7
2023-10-07,8,7,4,15,6,9,9,11,5
2023-10-08,10,4,4,12,5,6,5,10,7
2023-10-09,8,6,4,12,6,6,9,9,6
2023-10-10,8,5,3,13,4,9,6,9,5
2023-10-11,9,5,4,14,9,9,10,12,4
2023-10-12,10,10,5,14,8,10,8,9,6
2023-10-13,8,9,3,12,6,7,6,9,5
2023-10-14,9,7,2,14,6,9,8,9,8
2023-10-15,7,5,3,14,7,9,9,12,5
2023-10-16,8,5,4,11,7,9,8,10,4
2023-10-17,11,4,3,16,7,7,8,8,5
2023-10-18,8,5,3,13,4,5,7,7,3
2023-10-19,7,6,2,15,5,6,5,8,8
2023-10-20,7,5,5,11,4,8,8,8,8
2023-10-21,8,5,3,11,6,10,9,9,4
2023-10-22,13,8,3,15,6,6,8,12,7
2023-10-23,12,5,3,15,8,11,9,7,6
2023-10-24,11,5,2,14,5,9,7,11,4
2023-10-25,10,7,3,14,5,10,10,10,5
2023-10-26,10,5,4,9,6,9,7,11,4
2023-10-27,10,6,4,15,4,9,8,11,7
2023-10-28,9,6,3,17,5,10,8,11,4
2023-10-29,9,7,5,16,7,8,7,10,5
2023-10-30,11,6,2,16,6,10,8,10,3
2023-10-31,12,7,3,16,8,6,9,10,5
2023-11-01,13,4,2,16,7,13,8,13,7
2023-11-02,12,7,3,13,6,7,9,12,6
2023-11-03,10,6,3,14,7,10,8,14,6
2023-11-04,9,9,3,13,6,11,11,9,5
