time,sipa,bluematt,dashjr,bitcoinstats,schnelli,todd,provoost,emzy,wiz
2023-05-10,2,6,3,1,1,2,1,2,4
2023-05-11,6,2,2,3,2,4,3,1,1
2023-05-12,4,6,0,1,1,1,4,1,4
2023-05-13,7,6,7,3,2,7,6,2,4
2023-05-14,1,4,2,3,0,4,0,3,7
2023-05-15,2,3,2,1,1,1,1,0,5
2023-05-16,6,3,1,3,0,2,6,0,3
2023-05-17,3,1,4,0,0,2,4,1,1
2023-05-18,5,2,3,0,1,1,2,0,0
2023-05-19,4,7,6,1,0,5,3,1,4
2023-05-20,3,4,1,0,0,0,2,0,4
2023-05-21,2,5,2,0,0,2,4,0,5
2023-05-22,2,8,4,2,0,3,1,5,9
2023-05-23,5,6,6,2,0,2,4,1,4
2023-05-24,4,4,3,2,2,1,2,1,5
2023-05-25,4,5,1,2,0,5,1,1,5
2023-05-26,4,3,3,2,1,3,3,1,3
2023-05-27,3,5,3,0,0,7,1,3,4
2023-05-28,4,3,2,3,2,8,5,1,2
2023-05-29,2,4,3,3,1,3,4,4,2
2023-05-30,1,3,2,1,0,1,3,3,2
2023-05-31,4,5,4,0,1,3,2,0,5
2023-06-01,2,5,3,1,2,3,3,2,7
2023-06-02,3,7,2,2,0,4,3,8,6
2023-06-03,5,3,0,1,1,2,3,3,3
2023-06-04,3,1,2,1,3,1,5,3,1
2023-06-05,2,0,2,1,1,0,0,3,1
2023-06-06,2,2,6,2,2,1,6,4,1
2023-06-07,4,1,3,2,0,2,2,2,0
2023-06-08,1,3,1,2,2,1,2,4,3
2023-06-09,4,0,5,1,0,5,1,3,0
2023-06-10,1,2,3,0,1,1,0,3,2
2023-06-11,3,3,5,4,2,4,0,7,0
2023-06-12,3,3,1,2,0,2,4,4,1
2023-06-13,0,2,0,1,0,0,0,1,0
2023-06-14,6,1,6,0,1,2,6,8,0
2023-06-15,5,1,2,1,1,1,5,7,0
2023-06-16,3,3,3,2,3,3,4,5,4
2023-06-17,5,0,1,0,0,6,4,2,0
2023-06-18,3,2,0,0,1,1,1,4,0
2023-06-19,3,2,3,2,1,5,5,4,0
2023-06-20,4,1,3,0,1,2,3,4,0
2023-06-21,2,3,1,1,3,1,2,1,5
2023-06-22,4,2,6,4,0,6,7,6,2
2023-06-23,7,2,4,1,1,7,5,5,0
2023-06-24,5,3,1,1,0,1,3,3,1
2023-06-25,5,1,3,2,3,1,6,6,5
2023-06-26,4,2,1,4,1,1,3,5,3
2023-06-27,6,2,2,2,1,2,4,4,2
