time,sipa,bluematt,dashjr,bitcoinstats,schnelli,todd,provoost,emzy,wiz
2023-01-30,24.0.1,24.99.0,22.0.0,24.99.0,23.0.0,24.0.1,24.0.1,24.0.1,24.0.1
2023-01-31,24.0.1,24.99.0,22.0.0,24.0.1,24.0.1,24.0.1,24.0.1,24.0.1,24.99.0
2023-02-01,24.99.0,24.99.0,22.99.0,24.99.0,24.99.0,24.99.0,24.0.1,24.0.1,24.99.0
2023-02-02,24.99.0,24.99.0,22.0.0,24.0.1,24.0.1,24.0.1,24.0.1,24.0.1,24.99.0
2023-02-03,24.99.0,24.0.1,22.0.0,24.99.0,24.0.1,24.99.0,24.99.0,24.99.0,24.99.0
2023-02-04,24.99.0,24.0.1,22.0.0,24.0.1,24.0.1,24.99.0,24.99.0,24.0.1,24.0.1
2023-02-05,24.0.1,24.0.1,22.1.0,24.0.1,24.0.1,24.0.1,24.99.0,24.99.0,24.99.0
2023-02-06,24.0.1,24.99.0,24.0.1,24.0.1,24.0.1,24.0.1,24.0.1,24.0.1,24.99.0
2023-02-07,24.0.1,24.99.0,22.0.0,24.99.0,24.99.0,24.99.0,24.99.0,24.0.1,24.99.0
2023-02-08,24.0.1,24.99.0,22.0.0,24.0.1,24.99.0,24.0.1,24.99.0,24.0.1,24.99.0
2023-02-09,24.0.1,24.0.1,22.99.0,24.99.0,24.0.1,24.0.1,24.0.1,24.0.1,24.99.0
2023-02-10,24.99.0,24.99.0,22.99.0,24.0.1,24.0.1,24.0.1,24.99.0,24.0.1,24.99.0
2023-02-11,24.99.0,24.99.0,22.99.0,24.0.1,24.0.1,24.99.0,24.99.0,24.0.1,24.99.0
2023-02-12,24.0.1,24.99.0,24.0.1,24.0.1,24.0.1,24.0.1,24.99.0,24.0.1,24.99.0
2023-02-13,24.99.0,24.99.0,24.0.1,24.99.0,24.0.1,24.0.1,24.0.1,24.0.1,24.99.0
2023-02-14,24.99.0,24.99.0,24.0.1,24.0.1,24.0.1,24.99.0,24.99.0,24.0.1,24.99.0
2023-02-15,24.99.0,24.99.0,24.0.1,24.0.1,24.0.1,24.0.1,24.0.1,24.99.0,24.99.0
2023-02-16,24.0.1,24.99.0,22.0.0,24.99.0,24.99.0,24.99.0,24.99.0,24.99.0,24.99.0
2023-02-17,24.99.0,24.99.0,22.0.0,24.0.1,24.0.1,24.0.1,24.0.1,24.0.1,24.99.0
2023-02-18,24.0.1,24.99.0,22.0.0,24.99.0,24.0.1,24.99.0,24.99.0,24.0.1,24.99.0
2023-02-19,24.0.1,24.99.0,22.0.0,24.0.1,24.99.0,24.99.0,24.99.0,24.99.0,24.99.0
2023-02-20,24.99.0,24.0.1,22.0.0,24.99.0,24.0.1,24.0.1,24.0.1,24.0.1,24.99.0
2023-02-21,24.99.0,24.99.0,22.0.0,24.0.1,24.0.1,24.99.0,24.99.0,24.0.1,24.99.0
